Season,Set,CardNumber,PlayerName,Team,Position,Rookie,CardName,FairValue,NumSales,Min,Max,Trend,Top3Prices,LastScraped
2025-26,2025-26 Upper Deck Young Guns,232,Ian Moore,Anaheim Ducks,,Y,2025-26 Upper Deck - Young Guns #232 - Ian Moore,12.77,39.0,1.83,12.85,up,$3.67 | $3.08 | $12.77,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,233,Ville Koivunen,Pittsburgh Penguins,,Y,2025-26 Upper Deck - Young Guns #233 - Ville Koivunen,3.08,31.0,1.46,12.39,stable,$2.5 | $3.67 | $3.08,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,234,Dominik Shine,Detroit Red Wings,,Y,2025-26 Upper Deck - Young Guns #234 - Dominik Shine,7.0,39.0,1.46,11.89,up,$7.0 | $3.67 | $3.08,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,235,Rory Kerins,Calgary Flames,,Y,2025-26 Upper Deck - Young Guns #235 - Rory Kerins,10.93,38.0,1.46,11.38,up,$3.67 | $3.08 | $10.93,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,236,Zayne Parekh,Calgary Flames,,Y,2025-26 Upper Deck - Young Guns #236 - Zayne Parekh,11.26,34.0,5.1,29.36,stable,$13.65 | $11.26 | $5.5,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,237,Joakim Kemell,Nashville Predators,,Y,2025-26 Upper Deck - Young Guns #237 - Joakim Kemell,3.08,32.0,1.46,11.38,stable,$2.71 | $3.67 | $3.08,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,238,Ryan Leonard,Washington Capitals,,Y,2025-26 Upper Deck - Young Guns #238 - Ryan Leonard,27.15,37.0,10.0,32.1,down,$31.69 | $27.15 | $32.1,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,239,Matthew Robertson,New York Rangers,,Y,2025-26 Upper Deck - Young Guns #239 - Matthew Robertson,3.67,32.0,1.46,5.25,stable,$3.67 | $3.08 | $4.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,240,Ethen Frank,Washington Capitals,,Y,2025-26 Upper Deck - Young Guns #240 - Ethen Frank,3.67,33.0,1.46,5.25,stable,$3.67 | $3.08 | $4.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,241,Jacob Quillan,Toronto Maple Leafs,,Y,2025-26 Upper Deck - Young Guns #241 - Jacob Quillan,3.67,31.0,1.46,10.99,stable,$3.67 | $3.08 | $10.99,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,242,Cam Lund,San Jose Sharks,,Y,2025-26 Upper Deck - Young Guns #242 - Cam Lund,10.95,30.0,1.46,11.67,up,$3.67 | $3.08 | $10.95,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,243,Justin Robidas,Carolina Hurricanes,,Y,2025-26 Upper Deck - Young Guns #243 - Justin Robidas,11.02,31.0,1.29,11.02,up,$3.67 | $3.08 | $11.02,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,244,Jakub Skarek,New York Islanders,,Y,2025-26 Upper Deck - Young Guns #244 - Jakub Skarek,3.67,34.0,1.46,11.69,up,$3.67 | $3.08 | $2.2,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,245,Victor Ostman,Seattle Kraken,,Y,2025-26 Upper Deck - Young Guns #245 - Victor Ostman,3.67,36.0,1.41,11.68,up,$3.32 | $3.67 | $3.08,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,246,Parker Ford,Winnipeg Jets,,Y,2025-26 Upper Deck - Young Guns #246 - Parker Ford,3.67,37.0,1.25,6.24,stable,$3.67 | $3.08 | $4.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,247,Skyler Brind'Amour,Carolina Hurricanes,,Y,2025-26 Upper Deck - Young Guns #247 - Skyler Brind'Amour,10.96,38.0,1.46,11.72,up,$3.67 | $3.08 | $10.96,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,248,Sam Rinzel,Chicago Blackhawks,,Y,2025-26 Upper Deck - Young Guns #248 - Sam Rinzel,13.06,34.0,5.1,33.78,stable,$19.97 | $13.06 | $11.2,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,249,Dylan Duke,Tampa Bay Lightning,,Y,2025-26 Upper Deck - Young Guns #249 - Dylan Duke,3.08,35.0,1.25,10.0,down,$3.67 | $3.08 | $4.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,250,Ivan Demidov/Artyom Levshunov CL,Montreal Canadiens/Chicago Blackhawks,,Y,2025-26 Upper Deck - Young Guns #250 - Ivan Demidov/Artyom Levshunov CL,3.85,20.0,1.83,13.06,stable,$13.06 | $3.3 | $3.85,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,201,Zachary Bolduc,St. Louis Blues,,Y,2024-25 Upper Deck - Young Guns #201 - Zachary Bolduc,2.76,42.0,2.76,18.34,down,$9.54 | $2.76 | $3.3,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,202,Jesper Wallstedt,Minnesota Wild,,Y,2024-25 Upper Deck - Young Guns #202 - Jesper Wallstedt,17.14,34.0,6.59,37.55,stable,$17.14 | $21.29 | $13.5,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,203,Landon Slaggert,Chicago Blackhawks,,Y,2024-25 Upper Deck - Young Guns #203 - Landon Slaggert,2.76,36.0,2.16,10.99,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,204,Kyle MacLean,New York Islanders,,Y,2024-25 Upper Deck - Young Guns #204 - Kyle MacLean,2.76,34.0,1.41,10.98,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,205,Mason Morelli,Vegas Golden Knights,,Y,2024-25 Upper Deck - Young Guns #205 - Mason Morelli,2.2,42.0,1.89,12.4,down,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,206,Brennan Othmann,New York Rangers,,Y,2024-25 Upper Deck - Young Guns #206 - Brennan Othmann,3.3,36.0,1.46,10.99,stable,$4.26 | $2.76 | $3.3,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,207,Gavin Brindley,Columbus Blue Jackets,,Y,2024-25 Upper Deck - Young Guns #207 - Gavin Brindley,3.3,36.0,1.29,10.46,up,$1.83 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,208,Bradly Nadeau,Carolina Hurricanes,,Y,2024-25 Upper Deck - Young Guns #208 - Bradly Nadeau,2.76,33.0,1.75,13.69,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,209,Zack Ostapchuk,Ottawa Senators,,Y,2024-25 Upper Deck - Young Guns #209 - Zack Ostapchuk,3.3,37.0,1.99,11.59,stable,$2.76 | $3.3 | $3.31,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,210,Jason Polin,Colorado Avalanche,,Y,2024-25 Upper Deck - Young Guns #210 - Jason Polin,2.76,39.0,1.25,10.96,down,$5.51 | $2.76 | $3.3,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,211,Shakir Mukhamadullin,San Jose Sharks,,Y,2024-25 Upper Deck - Young Guns #211 - Shakir Mukhamadullin,2.76,34.0,1.29,10.99,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,212,Cutter Gauthier,Anaheim Ducks,,Y,2024-25 Upper Deck - Young Guns #212 - Cutter Gauthier,17.5,37.0,6.59,49.99,stable,$13.23 | $30.5 | $17.5,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,213,Zach Dean,St. Louis Blues,,Y,2024-25 Upper Deck - Young Guns #213 - Zach Dean,3.3,34.0,1.25,10.96,up,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,214,Luca Del Bel Belluz,Columbus Blue Jackets,,Y,2024-25 Upper Deck - Young Guns #214 - Luca Del Bel Belluz,3.3,34.0,1.29,10.96,up,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,215,Mavrik Bourque,Dallas Stars,,Y,2024-25 Upper Deck - Young Guns #215 - Mavrik Bourque,11.67,38.0,1.49,11.68,up,$2.76 | $3.3 | $11.67,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,216,Matt Rempe,New York Rangers,,Y,2024-25 Upper Deck - Young Guns #216 - Matt Rempe,2.76,41.0,1.84,12.85,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:52
2024-25,2024-25 Upper Deck Young Guns,217,Matt Villalta,Arizona Coyotes,,Y,2024-25 Upper Deck - Young Guns #217 - Matt Villalta,3.3,38.0,1.46,10.95,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,218,Maxwell Crozier,Tampa Bay Lightning,,Y,2024-25 Upper Deck - Young Guns #218 - Maxwell Crozier,3.3,38.0,1.75,11.67,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,219,James Malatesta,Columbus Blue Jackets,,Y,2024-25 Upper Deck - Young Guns #219 - James Malatesta,3.3,36.0,1.25,8.27,stable,$2.76 | $3.3 | $5.32,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,220,Ivan Fedotov,Philadelphia Flyers,,Y,2024-25 Upper Deck - Young Guns #220 - Ivan Fedotov,10.1,33.0,1.95,10.99,up,$2.76 | $3.3 | $10.1,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,221,Ethan Del Mastro,Chicago Blackhawks,,Y,2024-25 Upper Deck - Young Guns #221 - Ethan Del Mastro,2.76,40.0,1.29,8.5,stable,$1.29 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,222,Justin Brazeau,Boston Bruins,,Y,2024-25 Upper Deck - Young Guns #222 - Justin Brazeau,3.3,39.0,1.46,10.68,up,$1.46 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,223,Collin Graf,San Jose Sharks,,Y,2024-25 Upper Deck - Young Guns #223 - Collin Graf,2.82,44.0,2.05,12.83,down,$2.82 | $5.18 | $5.13,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,224,Graeme Clarke,New Jersey Devils,,Y,2024-25 Upper Deck - Young Guns #224 - Graeme Clarke,3.3,32.0,1.47,9.36,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,225,Scott Morrow,Carolina Hurricanes,,Y,2024-25 Upper Deck - Young Guns #225 - Scott Morrow,2.76,41.0,1.5,8.74,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,226,Brendan Brisson,Vegas Golden Knights,,Y,2024-25 Upper Deck - Young Guns #226 - Brendan Brisson,2.76,37.0,1.49,10.13,stable,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,227,Frank Nazar,Chicago Blackhawks,,Y,2024-25 Upper Deck - Young Guns #227 - Frank Nazar,24.95,35.0,6.59,33.89,up,$24.95 | $12.12 | $14.31,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,228,Brad Lambert,Winnipeg Jets,,Y,2024-25 Upper Deck - Young Guns #228 - Brad Lambert,3.3,43.0,2.16,15.21,stable,$2.76 | $3.3 | $10.95,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,229,Lane Hutson,Montreal Canadiens,,Y,2024-25 Upper Deck - Young Guns #229 - Lane Hutson,129.06,40.0,63.0,145.49,stable,$133.62 | $129.06 | $109.42,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,230,Pierrick Dube,Washington Capitals,,Y,2024-25 Upper Deck - Young Guns #230 - Pierrick Dube,2.76,37.0,1.3,10.46,down,$2.76 | $3.3 | $2.93,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,231,Arshdeep Bains,Vancouver Canucks,,Y,2024-25 Upper Deck - Young Guns #231 - Arshdeep Bains,3.3,41.0,1.23,10.13,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,232,Ruslan Iskhakov,New York Islanders,,Y,2024-25 Upper Deck - Young Guns #232 - Ruslan Iskhakov,2.2,35.0,1.41,9.73,down,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,233,Josh Doan,Arizona Coyotes,,Y,2024-25 Upper Deck - Young Guns #233 - Josh Doan,6.24,35.0,2.72,19.28,up,$6.24 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,234,Jack St. Ivany,Pittsburgh Penguins,,Y,2024-25 Upper Deck - Young Guns #234 - Jack St. Ivany,3.3,32.0,1.25,6.59,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,235,Yan Kuznetsov,Calgary Flames,,Y,2024-25 Upper Deck - Young Guns #235 - Yan Kuznetsov,2.76,43.0,1.65,10.98,down,$2.76 | $3.3 | $2.94,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,236,Olen Zellweger,Anaheim Ducks,,Y,2024-25 Upper Deck - Young Guns #236 - Olen Zellweger,7.35,32.0,3.48,25.0,stable,$13.45 | $7.35 | $3.48,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,237,Marshall Rifai,Toronto Maple Leafs,,Y,2024-25 Upper Deck - Young Guns #237 - Marshall Rifai,2.76,42.0,2.16,11.56,down,$2.76 | $3.3 | $3.31,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,238,Cameron Crotty,Arizona Coyotes,,Y,2024-25 Upper Deck - Young Guns #238 - Cameron Crotty,3.3,35.0,1.47,10.27,stable,$6.98 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,239,Logan Mailloux,Montreal Canadiens,,Y,2024-25 Upper Deck - Young Guns #239 - Logan Mailloux,3.3,35.0,1.58,10.95,stable,$10.65 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,240,Sam Colangelo,Anaheim Ducks,,Y,2024-25 Upper Deck - Young Guns #240 - Sam Colangelo,3.3,37.0,1.25,10.96,up,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,241,Emil Lilleberg,Tampa Bay Lightning,,Y,2024-25 Upper Deck - Young Guns #241 - Emil Lilleberg,11.2,40.0,1.47,11.67,up,$2.76 | $3.3 | $11.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,242,Akil Thomas,Los Angeles Kings,,Y,2024-25 Upper Deck - Young Guns #242 - Akil Thomas,2.2,38.0,1.5,8.49,down,$2.76 | $3.3 | $2.2,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,243,Marat Khusnutdinov,Minnesota Wild,,Y,2024-25 Upper Deck - Young Guns #243 - Marat Khusnutdinov,2.76,40.0,1.65,14.3,down,$2.76 | $4.39 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,244,Logan Stankoven,Dallas Stars,,Y,2024-25 Upper Deck - Young Guns #244 - Logan Stankoven,14.07,42.0,2.72,21.73,up,$14.07 | $5.88 | $5.5,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,245,Nikita Chibrikov,Winnipeg Jets,,Y,2024-25 Upper Deck - Young Guns #245 - Nikita Chibrikov,2.99,36.0,2.2,16.25,stable,$2.76 | $3.3 | $2.99,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,246,Joshua Roy,Montreal Canadiens,,Y,2024-25 Upper Deck - Young Guns #246 - Joshua Roy,3.3,34.0,1.25,7.35,up,$2.76 | $3.3 | $2.39,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,247,Gage Goncalves,Tampa Bay Lightning,,Y,2024-25 Upper Deck - Young Guns #247 - Gage Goncalves,1.09,29.0,1.09,7.35,down,$1.09 | $2.76 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,248,Liam Ohgren,Minnesota Wild,,Y,2024-25 Upper Deck - Young Guns #248 - Liam Ohgren,2.76,42.0,1.84,12.99,down,$2.76 | $3.3 | $3.31,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,249,Lukas Cormier,Vegas Golden Knights,,Y,2024-25 Upper Deck - Young Guns #249 - Lukas Cormier,1.65,40.0,1.41,10.96,down,$2.76 | $3.3 | $1.65,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,250,Cutter Gauthier/Logan Stankoven CL,Anaheim Ducks/Dallas Stars,,Y,2024-25 Upper Deck - Young Guns #250 - Cutter Gauthier/Logan Stankoven CL,3.3,3.0,2.75,3.31,stable,$3.31 | $2.75 | $3.3,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,451,Macklin Celebrini,San Jose Sharks,,Y,2024-25 Upper Deck - Young Guns #451 - Macklin Celebrini,475.0,41.0,220.15,484.65,stable,$475.0 | $484.65 | $366.06,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,452,Brian Halonen,New Jersey Devils,,Y,2024-25 Upper Deck - Young Guns #452 - Brian Halonen,2.76,34.0,1.98,9.54,down,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,453,Patrik Koch,Utah Hockey Club,,Y,2024-25 Upper Deck - Young Guns #453 - Patrik Koch,3.67,33.0,1.19,6.58,up,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,454,Brandon Scanlin,New York Rangers,,Y,2024-25 Upper Deck - Young Guns #454 - Brandon Scanlin,3.48,33.0,1.83,10.64,up,$2.76 | $3.3 | $3.48,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,455,Cameron Butler,Columbus Blue Jackets,,Y,2024-25 Upper Deck - Young Guns #455 - Cameron Butler,3.48,34.0,1.17,9.0,up,$2.76 | $3.3 | $3.48,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,456,Maksymilian Szuber,Utah Hockey Club,,Y,2024-25 Upper Deck - Young Guns #456 - Maksymilian Szuber,3.3,40.0,1.36,10.99,stable,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,457,Georgi Romanov,San Jose Sharks,,Y,2024-25 Upper Deck - Young Guns #457 - Georgi Romanov,3.67,35.0,1.99,10.89,up,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,458,Aku Raty,Utah Hockey Club,,Y,2024-25 Upper Deck - Young Guns #458 - Aku Raty,3.48,30.0,1.25,8.81,up,$2.76 | $3.3 | $3.48,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,459,Ethan Cardwell,San Jose Sharks,,Y,2024-25 Upper Deck - Young Guns #459 - Ethan Cardwell,3.67,29.0,2.2,10.95,up,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,460,Adam Klapka,Calgary Flames,,Y,2024-25 Upper Deck - Young Guns #460 - Adam Klapka,3.3,30.0,1.84,10.64,stable,$2.76 | $3.3 | $3.67,2026-02-15 01:53
2024-25,2024-25 Upper Deck Young Guns,461,Oliver Kapanen,Montreal Canadiens,,Y,2024-25 Upper Deck - Young Guns #461 - Oliver Kapanen,21.57,39.0,5.14,46.01,stable,$20.55 | $21.57 | $23.12,2026-02-15 01:53
